state_fips,year,state_abbr,state_name,census_region,census_division
17,2022,IL,Illinois,Midwest,East North Central
17,2023,IL,Illinois,Midwest,East North Central
18,2008,IN,Indiana,Midwest,East North Central
18,2009,IN,Indiana,Midwest,East North Central
18,2010,IN,Indiana,Midwest,East North Central
18,2011,IN,Indiana,Midwest,East North Central
18,2012,IN,Indiana,Midwest,East North Central
18,2013,IN,Indiana,Midwest,East North Central
18,2014,IN,Indiana,Midwest,East North Central
18,2015,IN,Indiana,Midwest,East North Central
18,2016,IN,Indiana,Midwest,East North Central
18,2017,IN,Indiana,Midwest,East North Central
18,2018,IN,Indiana,Midwest,East North Central
18,2019,IN,Indiana,Midwest,East North Central
18,2020,IN,Indiana,Midwest,East North Central
18,2021,IN,Indiana,Midwest,East North Central
18,2022,IN,Indiana,Midwest,East North Central
18,2023,IN,Indiana,Midwest,East North Central
19,2008,IA,Iowa,Midwest,West North Central
19,2009,IA,Iowa,Midwest,West North Central
19,2010,IA,Iowa,Midwest,West North Central
19,2011,IA,Iowa,Midwest,West North Central
19,2012,IA,Iowa,Midwest,West North Central
19,2013,IA,Iowa,Midwest,West North Central
19,2014,IA,Iowa,Midwest,West North Central
19,2015,IA,Iowa,Midwest,West North Central
19,2016,IA,Iowa,Midwest,West North Central
19,2017,IA,Iowa,Midwest,West North Central
19,2018,IA,Iowa,Midwest,West North Central
19,2019,IA,Iowa,Midwest,West North Central
19,2020,IA,Iowa,Midwest,West North Central
19,2021,IA,Iowa,Midwest,West North Central
19,2022,IA,Iowa,Midwest,West North Central
19,2023,IA,Iowa,Midwest,West North Central
20,2008,KS,Kansas,Midwest,West North Central
20,2009,KS,Kansas,Midwest,West North Central
20,2010,KS,Kansas,Midwest,West North Central
20,2011,KS,Kansas,Midwest,West North Central
20,2012,KS,Kansas,Midwest,West North Central
20,2013,KS,Kansas,Midwest,West North Central
20,2014,KS,Kansas,Midwest,West North Central
20,2015,KS,Kansas,Midwest,West North Central
20,2016,KS,Kansas,Midwest,West North Central
20,2017,KS,Kansas,Midwest,West North Central
20,2018,KS,Kansas,Midwest,West North Central
20,2019,KS,Kansas,Midwest,West North Central
20,2020,KS,Kansas,Midwest,West North Central
20,2021,KS,Kansas,Midwest,West North Central
20,2022,KS,Kansas,Midwest,West North Central
20,2023,KS,Kansas,Midwest,West North Central
21,2008,KY,Kentucky,South,East South Central
21,2009,KY,Kentucky,South,East South Central
21,2010,KY,Kentucky,South,East South Central
21,2011,KY,Kentucky,South,East South Central
21,2012,KY,Kentucky,South,East South Central
21,2013,KY,Kentucky,South,East South Central
21,2014,KY,Kentucky,South,East South Central
21,2015,KY,Kentucky,South,East South Central
21,2016,KY,Kentucky,South,East South Central
21,2017,KY,Kentucky,South,East South Central
21,2018,KY,Kentucky,South,East South Central
21,2019,KY,Kentucky,South,East South Central
21,2020,KY,Kentucky,South,East South Central
21,2021,KY,Kentucky,South,East South Central
21,2022,KY,Kentucky,South,East South Central
21,2023,KY,Kentucky,South,East South Central
22,2008,LA,Louisiana,South,West South Central
22,2009,LA,Louisiana,South,West South Central
22,2010,LA,Louisiana,South,West South Central
22,2011,LA,Louisiana,South,West South Central
22,2012,LA,Louisiana,South,West South Central
22,2013,LA,Louisiana,South,West South Central
22,2014,LA,Louisiana,South,West South Central
22,2015,LA,Louisiana,South,West South Central
