state_fips,state_abbr,year,electric_bill_monthly,electric_bill_annual
05,AR,2009,98.37697075604486,1180.5236490725383
05,AR,2010,107.2784697690487,1287.3416372285844
05,AR,2011,106.26702381866556,1275.2042858239868
05,AR,2012,104.13560794522755,1249.6272953427306
05,AR,2013,108.63844350889765,1303.6613221067719
05,AR,2014,108.62901289136356,1303.5481546963626
05,AR,2015,110.2158760719356,1322.590512863227
05,AR,2016,107.44469696471607,1289.336363576593
05,AR,2017,105.64474428150807,1267.7369313780969
05,AR,2018,113.36275177823971,1360.3530213388765
05,AR,2019,109.46252454893202,1313.5502945871842
05,AR,2020,110.33104820927868,1323.9725785113442
06,CA,2008,81.09900847520207,973.1881017024248
06,CA,2009,85.44876223166285,1025.3851467799543
06,CA,2010,82.85480076319097,994.2576091582916
06,CA,2011,83.70482509906704,1004.4579011888045
06,CA,2012,87.9107782973043,1054.9293395676516
06,CA,2013,91.03166268193252,1092.3799521831902
06,CA,2014,91.26256368027079,1095.1507641632495
06,CA,2015,94.5880083559256,1135.0561002711072
06,CA,2016,95.2004714270956,1142.4056571251472
06,CA,2017,101.49400102866572,1217.9280123439887
06,CA,2018,102.89918764796391,1234.790251775567
06,CA,2019,101.91645328617149,1222.997439434058
06,CA,2020,116.93596137851927,1403.2315365422312
08,CO,2008,68.80149819626911,825.6179783552293
08,CO,2009,68.6871741152027,824.2460893824323
08,CO,2010,78.21828477269122,938.6194172722946
08,CO,2011,80.11852291084985,961.4222749301982
08,CO,2012,80.93959584804318,971.2751501765182
08,CO,2013,84.90641270602227,1018.8769524722672
08,CO,2014,83.72532124925539,1004.7038549910646
08,CO,2015,83.4181371612995,1001.0176459355939
08,CO,2016,83.84626037800633,1006.1551245360761
08,CO,2017,82.46655462126118,989.5986554551341
08,CO,2018,83.89923230836932,1006.7907877004318
08,CO,2019,83.06615772860725,996.793892743287
08,CO,2020,87.88057359801063,1054.5668831761275
09,CT,2008,142.7757079499752,1713.3084953997027
09,CT,2009,147.25536937870675,1767.064432544481
09,CT,2010,144.32957617903563,1731.9549141484276
09,CT,2011,134.0668728299208,1608.8024739590496
09,CT,2012,126.75400032951775,1521.048003954213
09,CT,2013,132.0664168092247,1584.7970017106963
09,CT,2014,144.10188004386762,1729.2225605264116
09,CT,2015,153.13042760015375,1837.565131201845
09,CT,2016,142.18863047878997,1706.2635657454798
09,CT,2017,139.97011409866113,1679.6413691839334
09,CT,2018,153.46086090253314,1841.5303308303978
09,CT,2019,150.71467524749067,1808.576102969888
09,CT,2020,161.54738550919765,1938.568626110372
10,DE,2008,131.22793360727562,1574.7352032873073
10,DE,2009,129.07403081485694,1548.8883697782833
10,DE,2010,138.23945463511345,1658.8734556213612
10,DE,2011,132.829618689019,1593.955424268228
10,DE,2012,127.92501462507312,1535.1001755008774
10,DE,2013,122.25054251885702,1467.0065102262843
10,DE,2014,126.25519008215791,1515.0622809858949
10,DE,2015,131.18129376337845,1574.1755251605414
10,DE,2016,127.03446444388258,1524.413573326591
10,DE,2017,121.72951612915845,1460.7541935499014
10,DE,2018,122.43486129770986,1469.2183355725183
10,DE,2019,119.16195889035379,1429.9435066842454
10,DE,2020,117.08580191032753,1405.0296229239304
11,DC,2008,93.97253755171276,1127.670450620553
11,DC,2009,97.98206143238019,1175.7847371885623
11,DC,2010,108.93210283454187,1307.1852340145024
11,DC,2011,100.29563448826904,1203.5476138592285
11,DC,2012,88.51220038868495,1062.1464046642193
11,DC,2013,90.50542094095182,1086.065051291422
11,DC,2014,91.90428443107517,1102.851413172902
11,DC,2015,109.20862815140482,1310.503537816858
11,DC,2016,98.79063348137181,1185.4876017764618
11,DC,2017,96.51845093874947,1158.2214112649935
11,DC,2018,101.01154473143418,1212.1385367772102
11,DC,2019,97.62485076715426,1171.498209205851
11,DC,2020,88.89192997918288,1066.7031597501946
12,FL,2008,130.5150556030291,1566.1806672363493
12,FL,2009,140.32743433647008,1683.9292120376408
12,FL,2010,136.61141961977538,1639.3370354373046
12,FL,2011,130.10291912880123,1561.235029545615
12,FL,2012,123.44817191768804,1481.3780630122565
12,FL,2013,121.53241014511191,1458.388921741343
12,FL,2014,129.85516097515622,1558.2619317018748
12,FL,2015,132.16423413130966,1585.970809575716
12,FL,2016,123.3737400830279,1480.4848809963348
12,FL,2017,126.43649152231482,1517.2378982677778
12,FL,2018,128.10186229711303,1537.2223475653564
12,FL,2019,129.65181020058236,1555.8217224069883
12,FL,2020,128.6358901066055,1543.630681279266
13,GA,2008,113.95690077936223,1367.4828093523467
13,GA,2009,114.64140912057901,1375.6969094469482
13,GA,2010,127.40808070094516,1528.896968411342
13,GA,2011,131.15075711013432,1573.8090853216117
13,GA,2012,122.72951002068537,1472.7541202482244
13,GA,2013,124.66938739616938,1496.0326487540326
13,GA,2014,134.14253981352766,1609.710477762332
13,GA,2015,129.46055660789048,1553.526679294686
13,GA,2016,130.8683540305707,1570.4202483668487
13,GA,2017,126.38354049059761,1516.6024858871713
13,GA,2018,131.05366663749822,1572.6439996499787
13,GA,2019,131.8356526014497,1582.0278312173964
13,GA,2020,129.91581374733116,1558.9897649679738
15,HI,2008,203.94298960784508,2447.315875294141
15,HI,2009,149.25326738413068,1791.039208609568
15,HI,2010,168.8649389243743,2026.3792670924913
15,HI,2011,202.71648492367433,2432.597819084092
15,HI,2012,203.15275381384072,2437.8330457660886
15,HI,2013,190.36339588275496,2284.3607505930595
15,HI,2014,187.58722042424014,2251.0466450908816
15,HI,2015,152.11783190416938,1825.4139828500324
15,HI,2016,138.72548678357361,1664.7058414028834
15,HI,2017,149.3339138441829,1792.0069661301945
15,HI,2018,168.13270649863463,2017.5924779836155
15,HI,2019,168.21469960214623,2018.5763952257548
15,HI,2020,162.6634796524299,1951.9617558291588
16,ID,2008,76.01450880637186,912.1741056764624
16,ID,2009,84.2681202913312,1011.2174434959744
16,ID,2010,81.458099211143,977.4971905337159
16,ID,2011,82.50067816372746,990.0081379647295
16,ID,2012,87.51789511827114,1050.2147414192536
16,ID,2013,98.35384449698695,1180.2461339638435
16,ID,2014,95.50501706802727,1146.0602048163273
16,ID,2015,95.00598999876921,1140.0718799852305
16,ID,2016,94.89744971641481,1138.7693965969777
16,ID,2017,100.37595569532103,1204.5114683438524
16,ID,2018,95.83949171134992,1150.073900536199
16,ID,2019,93.82930042596125,1125.951605111535
16,ID,2020,95.03788212773735,1140.4545855328481
17,IL,2008,84.62637334833882,1015.5164801800659
17,IL,2009,82.04480871495791,984.5377045794949
17,IL,2010,92.0275666909136,1104.3308002909632
17,IL,2011,90.7941442515028,1089.5297310180335
17,IL,2012,87.19777357927832,1046.37328295134
17,IL,2013,80.19330846258396,962.3197015510075
17,IL,2014,88.7771552126826,1065.3258625521912
17,IL,2015,89.91358012996426,1078.962961559571
17,IL,2016,91.82993755249807,1101.9592506299769
17,IL,2017,89.62680235717106,1075.5216282860526
17,IL,2018,94.9750890415288,1139.7010684983456
17,IL,2019,92.37202643373509,1108.464317204821
17,IL,2020,93.98261296236991,1127.791355548439
18,IN,2008,91.94062627143698,1103.2875152572437
18,IN,2009,94.29587823578409,1131.550538829409
18,IN,2010,101.7928283947471,1221.5139407369652
18,IN,2011,103.5386562880671,1242.4638754568052
18,IN,2012,104.93468742685337,1259.2162491222405
18,IN,2013,110.44130948858401,1325.2957138630081
18,IN,2014,115.5627617016081,1386.753140419297
18,IN,2015,111.50534732380679,1338.0641678856814
18,IN,2016,114.96235869744224,1379.5483043693068
18,IN,2017,114.03663374604663,1368.4396049525596
18,IN,2018,123.3942222150822,1480.7306665809863
18,IN,2019,120.73877396305524,1448.865287556663
18,IN,2020,120.33829566667329,1444.0595480000795
19,IA,2008,83.93778736390671,1007.2534483668805
