state_fips,state_abbr,year,electric_bill_monthly,electric_bill_annual,construction_flag_electric,source_electric
42,PA,2023,143.0981448376711,1717.1777380520532,reconstructed_revenue_customers,EIA_HS861_2010
44,RI,2021,130.39597896875188,1564.7517476250225,reconstructed_revenue_customers,EIA_HS861_2010
44,RI,2022,136.7394120867025,1640.8729450404298,reconstructed_revenue_customers,EIA_HS861_2010
44,RI,2023,149.7797226356279,1797.356671627535,reconstructed_revenue_customers,EIA_HS861_2010
45,SC,2021,138.64675652521137,1663.7610783025366,reconstructed_revenue_customers,EIA_HS861_2010
45,SC,2022,147.87327275460626,1774.4792730552751,reconstructed_revenue_customers,EIA_HS861_2010
45,SC,2023,139.91257364838535,1678.9508837806243,reconstructed_revenue_customers,EIA_HS861_2010
46,SD,2021,124.50150286234492,1494.018034348139,reconstructed_revenue_customers,EIA_HS861_2010
46,SD,2022,127.917753645652,1535.013043747824,reconstructed_revenue_customers,EIA_HS861_2010
46,SD,2023,126.30934853756202,1515.7121824507442,reconstructed_revenue_customers,EIA_HS861_2010
47,TN,2021,130.98466219502788,1571.8159463403344,reconstructed_revenue_customers,EIA_HS861_2010
47,TN,2022,145.48758372185463,1745.8510046622555,reconstructed_revenue_customers,EIA_HS861_2010
47,TN,2023,135.22484816531252,1622.6981779837502,reconstructed_revenue_customers,EIA_HS861_2010
48,TX,2021,132.40161663373325,1588.819399604799,reconstructed_revenue_customers,EIA_HS861_2010
48,TX,2022,162.16526389562082,1945.98316674745,reconstructed_revenue_customers,EIA_HS861_2010
48,TX,2023,165.81560252442247,1989.7872302930696,reconstructed_revenue_customers,EIA_HS861_2010
49,UT,2021,80.87337117694423,970.4804541233308,reconstructed_revenue_customers,EIA_HS861_2010
49,UT,2022,84.8706712653651,1018.4480551843812,reconstructed_revenue_customers,EIA_HS861_2010
49,UT,2023,84.97177802463857,1019.6613362956627,reconstructed_revenue_customers,EIA_HS861_2010
50,VT,2021,109.23510850102052,1310.8213020122462,reconstructed_revenue_customers,EIA_HS861_2010
50,VT,2022,113.20512141225312,1358.4614569470375,reconstructed_revenue_customers,EIA_HS861_2010
50,VT,2023,117.11330986388755,1405.3597183666507,reconstructed_revenue_customers,EIA_HS861_2010
