state_fips,state_abbr,state_name,year,census_region,census_division,contract_rent_monthly,contract_rent_annual,electric_bill_monthly,electric_bill_annual,gas_bill_monthly,gas_bill_annual,tfp_national_annual,rpp_goods_index,food_reconstructed_annual,construction_flag_food,survival_line_nominal_main,min_wage_nominal,binding_min_wage,annualized_mw_income,mw_survival_gap_main,mw_survival_ratio_main,quality_flag
30,MT,Montana,2008,West,Mountain,515.0,6180.0,76.94576834199884,923.349220103986,57.25,687.0,6151.200000000001,99.765,6136.744680000001,reconstructed,13927.093900103986,6.550000190734863,6.550000190734863,13624.000396728516,-303.0935033754704,0.9782371322007668,ok
30,MT,Montana,2009,West,Mountain,533.0,6396.0,76.53666838281562,918.4400205937876,47.5,570.0,6363.599999999999,99.678,6343.109208,reconstructed,14227.549228593787,7.25,7.25,15080.0,852.4507714062129,1.0599155032050778,ok
30,MT,Montana,2010,West,Mountain,552.0,6624.0,77.3741587906819,928.4899054881828,43.2,518.4000000000001,6427.200000000001,99.257,6379.445904000001,reconstructed,14450.335809488182,7.25,7.25,15080.0,629.6641905118177,1.0435743638634596,ok
30,MT,Montana,2011,West,Mountain,551.0,6612.0,84.96519938803694,1019.5823926564432,44.0,528.0,6681.599999999999,99.644,6657.813504,reconstructed,14817.395896656442,7.349999904632568,7.349999904632568,15287.999801635742,470.60390497929984,1.0317602302227407,ok
30,MT,Montana,2012,West,Mountain,590.0,7080.0,84.88026557696115,1018.5631869235336,40.25,483.00000000000006,6811.200000000001,97.683,6653.3844960000015,reconstructed,15234.947682923535,7.650000095367432,7.650000095367432,15912.000198364258,677.0525154407223,1.0444407509321225,ok
30,MT,Montana,2013,West,Mountain,600.0,7200.0,88.85209366125669,1066.2251239350803,40.95,491.4,6847.200000000001,95.917,6567.628824,reconstructed,15325.25394793508,7.800000190734863,7.800000190734863,16224.000396728516,898.7464487934358,1.058644799743402,ok
30,MT,Montana,2014,West,Mountain,623.0,7476.0,86.92770301892006,1043.132436227041,45.55,546.5999999999999,6813.599999999999,97.224,6624.454464,reconstructed,15690.186900227041,7.900000095367432,7.900000095367432,16432.000198364258,741.8132981372164,1.0472788057181448,ok
30,MT,Montana,2015,West,Mountain,671.0,8052.0,89.02803157639124,1068.336378916695,41.05,492.6,6724.799999999999,101.35,6815.584799999998,reconstructed,16428.52117891669,8.050000190734863,8.050000190734863,16744.000396728516,315.47921781182595,1.0192031415594907,ok
30,MT,Montana,2016,West,Mountain,655.0,7860.0,88.94693967858076,1067.3632761429692,36.35,436.2,6672.0,101.872,6796.89984,reconstructed,16160.46311614297,8.050000190734863,8.050000190734863,16744.000396728516,583.5372805855459,1.036108945417699,ok
30,MT,Montana,2017,West,Mountain,667.0,8004.0,94.75333109483232,1137.0399731379878,38.1,457.2,6765.599999999999,101.905,6894.48468,reconstructed,16492.724653137986,8.149999618530273,8.149999618530273,16951.99920654297,459.2745534049827,1.0278471000434486,ok
30,MT,Montana,2018,West,Mountain,707.0,8484.0,93.18595452767214,1118.2314543320656,36.6,439.2000000000001,6840.0,96.181,6578.7804,reconstructed,16620.211854332065,8.300000190734863,8.300000190734863,17264.000396728516,643.7885423964508,1.0387352789506499,ok
30,MT,Montana,2019,West,Mountain,735.0,8820.0,95.42691434196554,1145.1229721035866,35.45,425.4,6924.0,98.933,6850.12092,reconstructed,17240.643892103588,8.5,8.5,17680.0,439.35610789641214,1.0254837412480657,ok
30,MT,Montana,2020,West,Mountain,,,96.48813831002344,1157.8576597202814,36.1,433.2,7224.0,95.88,6926.3712,reconstructed,,8.649999618530273,8.649999618530273,17991.99920654297,,,acs_2020_missing
30,MT,Montana,2021,West,Mountain,786.0,9432.0,,,44.3,531.5999999999999,10026.84,96.765,9702.471726,reconstructed,,8.75,8.75,18200.0,,,ok
