NAME,B25058_001E,state,year
Oregon,989,41,2018
Pennsylvania,763,42,2018
Rhode Island,851,44,2018
South Carolina,692,45,2018
South Dakota,631,46,2018
Tennessee,678,47,2018
Texas,887,48,2018
Vermont,853,50,2018
Utah,923,49,2018
Virginia,1045,51,2018
Washington,1184,53,2018
West Virginia,546,54,2018
Illinois,889,17,2019
Georgia,857,13,2019
Idaho,776,16,2019
Hawaii,1527,15,2019
Indiana,669,18,2019
Iowa,660,19,2019
Kansas,673,20,2019
Kentucky,618,21,2019
Louisiana,714,22,2019
Maine,766,23,2019
Maryland,1255,24,2019
Massachusetts,1201,25,2019
Michigan,740,26,2019
Minnesota,929,27,2019
Connecticut,1011,09,2019
Florida,1097,12,2019
Alabama,597,01,2019
Alaska,1095,02,2019
Arizona,939,04,2019
Arkansas,576,05,2019
California,1486,06,2019
Colorado,1258,08,2019
Delaware,959,10,2019
District of Columbia,1514,11,2019
Mississippi,598,28,2019
Missouri,659,29,2019
Montana,735,30,2019
Nebraska,714,31,2019
Nevada,1032,32,2019
New Hampshire,1001,33,2019
New Jersey,1228,34,2019
New Mexico,737,35,2019
New York,1190,36,2019
North Carolina,755,37,2019
North Dakota,726,38,2019
Ohio,662,39,2019
Oklahoma,644,40,2019
Oregon,1063,41,2019
Pennsylvania,792,42,2019
Rhode Island,900,44,2019
South Carolina,729,45,2019
South Dakota,669,46,2019
Tennessee,716,47,2019
Texas,929,48,2019
Vermont,884,50,2019
Utah,991,49,2019
Virginia,1091,51,2019
Washington,1230,53,2019
West Virginia,551,54,2019
Wisconsin,746,55,2019
Wyoming,722,56,2019
Puerto Rico,386,72,2019
Alabama,650,01,2021
Puerto Rico,399,72,2021
Arizona,1099,04,2021
Arkansas,625,05,2021
California,1619,06,2021
Colorado,1378,08,2021
Connecticut,1102,09,2021
Delaware,1046,10,2021
District of Columbia,1586,11,2021
Florida,1202,12,2021
Georgia,970,13,2021
Hawaii,1645,15,2021
Idaho,906,16,2021
Illinois,966,17,2021
Indiana,730,18,2021
Iowa,704,19,2021
Kansas,717,20,2021
Kentucky,659,21,2021
Louisiana,753,22,2021
Maine,848,23,2021
Maryland,1321,24,2021
Massachusetts,1332,25,2021
Michigan,805,26,2021
Minnesota,1011,27,2021
Mississippi,641,28,2021
Missouri,707,29,2021
Montana,786,30,2021
Nebraska,761,31,2021
Nevada,1163,32,2021
New Hampshire,1141,33,2021
New Jersey,1318,34,2021
New Mexico,777,35,2021
New York,1274,36,2021
North Carolina,850,37,2021
North Dakota,752,38,2021
Ohio,716,39,2021
Oklahoma,689,40,2021
Oregon,1150,41,2021
Pennsylvania,872,42,2021
Rhode Island,992,44,2021
South Carolina,802,45,2021
South Dakota,722,46,2021
Tennessee,799,47,2021
Texas,1007,48,2021
Utah,1096,49,2021
Vermont,981,50,2021
Virginia,1169,51,2021
Washington,1356,53,2021
West Virginia,595,54,2021
Wisconsin,792,55,2021
Wyoming,749,56,2021
Alaska,1119,02,2021
Alabama,693,01,2022
Alaska,1180,02,2022
Arizona,1291,04,2022
Arkansas,654,05,2022
California,1719,06,2022
Colorado,1513,08,2022
Connecticut,1158,09,2022
Delaware,1109,10,2022
District of Columbia,1768,11,2022
Florida,1367,12,2022
Georgia,1065,13,2022
Hawaii,1629,15,2022
Idaho,1003,16,2022
Illinois,1008,17,2022
Indiana,780,18,2022
Iowa,741,19,2022
Kansas,772,20,2022
Kentucky,702,21,2022
Louisiana,779,22,2022
Maine,904,23,2022
Maryland,1388,24,2022
Massachusetts,1446,25,2022
Michigan,865,26,2022
Minnesota,1087,27,2022
Mississippi,656,28,2022
Missouri,757,29,2022
Montana,871,30,2022
Nebraska,826,31,2022
Nevada,1307,32,2022
New Hampshire,1231,33,2022
New Jersey,1399,34,2022
New Mexico,816,35,2022
New York,1354,36,2022
North Carolina,945,37,2022
North Dakota,782,38,2022
Ohio,765,39,2022
Oklahoma,744,40,2022
Oregon,1235,41,2022
Pennsylvania,922,42,2022
Rhode Island,1089,44,2022
South Carolina,893,45,2022
South Dakota,747,46,2022
Tennessee,884,47,2022
Texas,1117,48,2022
Utah,1252,49,2022
Vermont,997,50,2022
Virginia,1270,51,2022
Washington,1495,53,2022
West Virginia,606,54,2022
Wisconsin,845,55,2022
Wyoming,783,56,2022
Puerto Rico,403,72,2022
Alabama,757,01,2023
Alaska,1242,02,2023
Arizona,1438,04,2023
Arkansas,721,05,2023
California,1820,06,2023
Colorado,1645,08,2023
Connecticut,1233,09,2023
Delaware,1177,10,2023
District of Columbia,1806,11,2023
Florida,1553,12,2023
Georgia,1193,13,2023
Hawaii,1763,15,2023
Idaho,1114,16,2023
Illinois,1083,17,2023
Indiana,846,18,2023
Iowa,783,19,2023
Kansas,817,20,2023
Kentucky,745,21,2023
Louisiana,816,22,2023
Maine,1027,23,2023
Maryland,1473,24,2023
Massachusetts,1574,25,2023
Michigan,920,26,2023
Minnesota,1144,27,2023
Mississippi,685,28,2023
Missouri,823,29,2023
Montana,960,30,2023
Nebraska,874,31,2023
Nevada,1425,32,2023
New Hampshire,1324,33,2023
New Jersey,1498,34,2023
New Mexico,915,35,2023
New York,1406,36,2023
North Carolina,1062,37,2023
North Dakota,832,38,2023
Ohio,822,39,2023
Oklahoma,802,40,2023
Oregon,1325,41,2023
Pennsylvania,987,42,2023
Rhode Island,1169,44,2023
South Carolina,972,45,2023
South Dakota,791,46,2023
Tennessee,1001,47,2023
Texas,1221,48,2023
Utah,1399,49,2023
Vermont,1085,50,2023
Virginia,1390,51,2023
Washington,1590,53,2023
West Virginia,638,54,2023
Wisconsin,913,55,2023
Wyoming,858,56,2023
Puerto Rico,425,72,2023
